State,year_month,pdsi
AL,2010-09,-2.33
AL,2010-10,-2.56
AL,2010-11,-2.09
AL,2010-12,-2.84
AL,2011-01,-2.73
AL,2011-02,-3.18
AL,2011-03,-2.73
AL,2011-04,-2.28
AL,2011-05,-2.77
AL,2011-06,-3.11
AL,2011-07,-2.95
AL,2011-08,-3.53
AL,2011-09,-1.76
AL,2011-10,-1.87
AL,2011-11,-1.83
AL,2011-12,-1.49
AL,2012-01,-1.72
AL,2012-02,-1.46
AL,2012-03,-1.5
AL,2012-04,-1.87
AL,2012-05,-2.25
AL,2012-06,-2.26
AL,2012-07,0.39
AL,2012-08,2.16
AL,2012-09,2.43
AL,2012-10,2.51
AL,2012-11,1.73
AL,2012-12,1.92
AL,2013-01,2.69
AL,2013-02,2.97
AL,2013-03,2.24
AL,2013-04,2.43
AL,2013-05,2.72
AL,2013-06,2.5
AL,2013-07,2.23
AL,2013-08,1.94
AL,2013-09,2.18
AL,2013-10,1.75
AL,2013-11,1.81
AL,2013-12,1.62
AL,2014-01,0.68
AL,2014-02,0.9
AL,2014-03,0.79
AL,2014-04,1.66
AL,2014-05,1.67
AL,2014-06,2.47
AL,2014-07,2.31
AL,2014-08,2.36
AL,2014-09,-0.32
AL,2014-10,0.32
AL,2014-11,-0.23
AL,2014-12,-0.21
AL,2015-01,-0.31
AL,2015-02,-0.47
AL,2015-03,0.02
AL,2015-04,0.12
AL,2015-05,0.5
AL,2015-06,0.47
AL,2015-07,-0.28
AL,2015-08,-0.54
AL,2015-09,-1.26
AL,2015-10,0.54
AL,2015-11,1.13
AL,2015-12,1.26
AR,1992-01,-0.4
AR,1992-02,-0.69
AR,1992-03,-0.57
AR,1992-04,-1.12
AR,1992-05,-1.41
AR,1992-06,1.06
AR,1992-07,1.82
AR,1992-08,2.03
AR,1992-09,2.31
AR,1992-10,1.72
AR,1992-11,1.86
AR,1992-12,1.87
AR,1993-01,1.94
AR,1993-02,-0.28
AR,1993-03,-0.67
AR,1993-04,0.5
AR,1993-05,0.49
AR,1993-06,0.52
AR,1993-07,-0.84
AR,1993-08,-1.02
AR,1993-09,0.48
AR,1993-10,1.14
AR,1993-11,1.5
AR,1993-12,1.51
AR,1994-01,1.82
AR,1994-02,1.6
AR,1994-03,1.49
AR,1994-04,1.1
AR,1994-05,0.77
AR,1994-06,0.64
AR,1994-07,1.69
AR,1994-08,1.9
AR,1994-09,1.49
AR,1994-10,1.49
AR,1994-11,2.01
AR,1994-12,1.94
AR,1995-01,2.06
AR,1995-02,-0.62
AR,1995-03,-1.07
AR,1995-04,-0.58
AR,1995-05,-0.59
AR,1995-06,-0.51
AR,1995-07,-0.19
AR,1995-08,-0.9
AR,1995-09,-1.08
AR,1995-10,-1.39
AR,1995-11,-1.83
AR,1995-12,-1.83
AR,1996-01,-1.9
AR,1996-02,-2.46
AR,1996-03,-2.45
AR,1996-04,-2.18
AR,1996-05,-2.49
AR,1996-06,0.13
AR,1996-07,0.8
AR,1996-08,0.92
AR,1996-09,1.76
AR,1996-10,1.97
AR,1996-11,3.24
AR,1996-12,2.69
AR,1997-01,2.18
AR,1997-02,2.54
AR,1997-03,2.53
AR,1997-04,3.28
AR,1997-05,2.72
AR,1997-06,2.9
AR,1997-07,2.22
AR,1997-08,2.01
AR,1997-09,1.54
AR,1997-10,1.66
AR,1997-11,1.3
AR,1997-12,1.15
AR,1998-01,1.64
AR,1998-02,1.65
AR,1998-03,1.79
AR,1998-04,-0.41
AR,1998-05,-1.03
AR,1998-06,-1.73
AR,1998-07,-2.26
AR,1998-08,-2.36
AR,1998-09,-2.24
AR,1998-10,-1.72
AR,1998-11,-2.03
AR,1998-12,-1.86
AR,1999-01,-0.88
AR,1999-02,-1.75
AR,1999-03,-1.38
AR,1999-04,-1.12
AR,1999-05,-1.14
AR,1999-06,-0.57
AR,1999-07,-0.97
AR,1999-08,-1.75
AR,1999-09,-2.2
AR,1999-10,-2.2
AR,1999-11,-2.95
AR,1999-12,-2.79
AR,2000-01,-3.0
AR,2000-02,-3.24
AR,2000-03,-3.22
AR,2000-04,-3.17
AR,2000-05,-2.55
AR,2000-06,-1.27
AR,2000-07,-1.63
AR,2000-08,-2.66
AR,2000-09,-2.75
AR,2000-10,-3.16
AR,2000-11,1.04
AR,2000-12,0.88
AR,2001-01,0.72
AR,2001-02,1.87
AR,2001-03,-0.25
AR,2001-04,-1.12
AR,2001-05,-1.05
AR,2001-06,-1.12
AR,2001-07,-1.49
AR,2001-08,-1.7
AR,2001-09,0.02
AR,2001-10,0.69
AR,2001-11,0.94
AR,2001-12,1.97
AR,2002-01,1.78
AR,2002-02,1.22
AR,2002-03,2.57
AR,2002-04,-0.54
AR,2002-05,-0.15
AR,2002-06,-0.55
AR,2002-07,-0.49
AR,2002-08,-0.44
AR,2002-09,-0.71
AR,2002-10,-0.4
AR,2002-11,-0.93
AR,2002-12,0.0
AR,2003-01,-0.83
AR,2003-02,-0.05
AR,2003-03,-0.92
AR,2003-04,-1.49
AR,2003-05,0.4
AR,2003-06,1.09
AR,2003-07,1.16
AR,2003-08,1.07
AR,2003-09,1.07
AR,2003-10,-0.34
AR,2003-11,-0.31
AR,2003-12,-0.63
AR,2004-01,-0.74
AR,2004-02,-0.58
AR,2004-03,-0.81
AR,2004-04,0.42
AR,2004-05,0.22
AR,2004-06,0.83
AR,2004-07,1.41
AR,2004-08,1.62
AR,2004-09,0.57
AR,2004-10,1.69
AR,2004-11,2.86
AR,2004-12,-0.29
AR,2005-01,0.33
AR,2005-02,-0.44
AR,2005-03,-0.8
AR,2005-04,-0.91
AR,2005-05,-1.64
AR,2005-06,-2.2
AR,2005-07,-2.25
AR,2005-08,-2.4
AR,2005-09,-2.05
AR,2005-10,-2.86
AR,2005-11,-3.19
AR,2005-12,-4.08
AR,2006-01,-4.01
AR,2006-02,-4.01
AR,2006-03,-3.64
AR,2006-04,-3.58
AR,2006-05,-3.61
AR,2006-06,-3.64
AR,2006-07,-3.79
AR,2006-08,-3.52
AR,2006-09,0.29
AR,2006-10,0.61
AR,2006-11,0.67
AR,2006-12,1.06
AR,2007-01,1.78
AR,2007-02,-0.44
AR,2007-03,-1.67
AR,2007-04,-1.62
AR,2007-05,-1.97
AR,2007-06,-1.88
AR,2007-07,-0.93
AR,2007-08,-1.62
AR,2007-09,-1.3
AR,2007-10,-0.86
AR,2007-11,-1.48
AR,2007-12,-1.08
AR,2008-01,-1.53
AR,2008-02,0.2
AR,2008-03,1.4
AR,2008-04,2.28
AR,2008-05,1.89
AR,2008-06,1.7
AR,2008-07,1.29
AR,2008-08,2.52
AR,2008-09,3.73
AR,2008-10,3.81
AR,2008-11,3.11
AR,2008-12,2.9
AR,2009-01,2.32
AR,2009-02,1.61
AR,2009-03,1.52
AR,2009-04,1.53
AR,2009-05,2.97
AR,2009-06,2.16
AR,2009-07,3.21
AR,2009-08,3.36
AR,2009-09,4.77
AR,2009-10,7.82
AR,2009-11,6.43
AR,2009-12,6.64
AR,2010-01,6.01
AR,2010-02,-0.11
AR,2010-03,-0.66
AR,2010-04,-1.19
AR,2010-05,-0.93
AR,2010-06,-1.48
AR,2010-07,-1.44
AR,2010-08,-2.11
AR,2010-09,-2.17
AR,2010-10,-2.71
AR,2010-11,-2.71
AR,2010-12,-3.33
AR,2011-01,-3.75
AR,2011-02,-3.35
AR,2011-03,-3.68
AR,2011-04,-1.77
AR,2011-05,-0.7
AR,2011-06,-1.58
AR,2011-07,-2.6
AR,2011-08,-2.47
AR,2011-09,-2.55
AR,2011-10,-2.64
AR,2011-11,-1.57
AR,2011-12,-0.62
AR,2012-01,-0.87
AR,2012-02,-1.16
AR,2012-03,-0.91
AR,2012-04,-1.6
AR,2012-05,-2.7
AR,2012-06,-3.36
AR,2012-07,-4.01
AR,2012-08,-3.57
AR,2012-09,-2.88
AR,2012-10,-2.59
AR,2012-11,-3.11
AR,2012-12,-3.16
AR,2013-01,0.56
AR,2013-02,0.53
AR,2013-03,0.18
AR,2013-04,0.37
AR,2013-05,0.68
AR,2013-06,0.41
AR,2013-07,0.6
AR,2013-08,0.86
AR,2013-09,0.66
AR,2013-10,0.98
AR,2013-11,0.85
AR,2013-12,1.25
AR,2014-01,-0.46
AR,2014-02,-0.75
AR,2014-03,0.06
AR,2014-04,0.3
AR,2014-05,0.52
AR,2014-06,1.19
AR,2014-07,1.69
AR,2014-08,1.86
AR,2014-09,1.4
AR,2014-10,1.78
AR,2014-11,-0.24
AR,2014-12,-0.56
AR,2015-01,-0.58
AR,2015-02,-0.67
AR,2015-03,0.98
AR,2015-04,1.07
AR,2015-05,2.36
AR,2015-06,2.08
AR,2015-07,2.2
AR,2015-08,2.05
AR,2015-09,1.11
AR,2015-10,0.96
AR,2015-11,2.35
AR,2015-12,3.18
AZ,1992-01,0.98
AZ,1992-02,1.46
AZ,1992-03,2.56
AZ,1992-04,2.59
AZ,1992-05,4.22
AZ,1992-06,4.91
AZ,1992-07,4.79
AZ,1992-08,5.27
AZ,1992-09,4.16
AZ,1992-10,3.62
AZ,1992-11,2.85
AZ,1992-12,3.92
AZ,1993-01,6.41
AZ,1993-02,7.62
AZ,1993-03,7.0
AZ,1993-04,6.42
AZ,1993-05,6.98
AZ,1993-06,7.01
AZ,1993-07,-0.96
AZ,1993-08,-0.25
AZ,1993-09,-0.92
AZ,1993-10,0.27
AZ,1993-11,0.84
AZ,1993-12,-0.52
AZ,1994-01,-1.16
AZ,1994-02,-0.98
AZ,1994-03,-0.96
AZ,1994-04,-0.91
AZ,1994-05,-1.13
AZ,1994-06,-1.73
AZ,1994-07,-2.45
AZ,1994-08,-2.77
AZ,1994-09,0.09
AZ,1994-10,0.14
AZ,1994-11,0.64
AZ,1994-12,1.16
AZ,1995-01,2.03
AZ,1995-02,2.05
AZ,1995-03,2.18
AZ,1995-04,2.44
AZ,1995-05,3.01
AZ,1995-06,3.59
AZ,1995-07,-0.63
AZ,1995-08,-0.81
AZ,1995-09,-0.75
AZ,1995-10,-1.45
AZ,1995-11,-1.78
AZ,1995-12,-2.3
AZ,1996-01,-2.92
AZ,1996-02,-3.13
AZ,1996-03,-3.63
AZ,1996-04,-4.36
AZ,1996-05,-4.96
AZ,1996-06,-5.28
AZ,1996-07,-5.03
AZ,1996-08,-5.19
AZ,1996-09,-4.04
AZ,1996-10,-3.75
AZ,1996-11,-3.49
AZ,1996-12,-3.87
AZ,1997-01,-3.09
AZ,1997-02,-2.91
AZ,1997-03,-3.52
AZ,1997-04,-3.35
AZ,1997-05,-3.55
AZ,1997-06,-3.68
AZ,1997-07,-4.22
AZ,1997-08,0.01
AZ,1997-09,0.7
AZ,1997-10,0.48
AZ,1997-11,0.15
AZ,1997-12,0.61
AZ,1998-01,0.12
AZ,1998-02,1.54
AZ,1998-03,2.05
AZ,1998-04,2.35
AZ,1998-05,2.93
AZ,1998-06,3.43
AZ,1998-07,3.94
AZ,1998-08,-0.4
AZ,1998-09,0.16
AZ,1998-10,0.45
AZ,1998-11,0.41
AZ,1998-12,-0.56
AZ,1999-01,-1.46
AZ,1999-02,-2.16
AZ,1999-03,-2.98
AZ,1999-04,-2.37
AZ,1999-05,-2.89
AZ,1999-06,-3.19
AZ,1999-07,1.36
AZ,1999-08,1.53
AZ,1999-09,1.84
AZ,1999-10,-0.9
AZ,1999-11,-1.73
AZ,1999-12,-2.32
AZ,2000-01,-2.97
AZ,2000-02,-3.41
AZ,2000-03,-2.97
AZ,2000-04,-3.54
AZ,2000-05,-4.35
AZ,2000-06,-4.31
AZ,2000-07,-5.15
AZ,2000-08,-4.49
AZ,2000-09,-5.01
AZ,2000-10,2.19
AZ,2000-11,2.23
AZ,2000-12,1.36
AZ,2001-01,1.67
AZ,2001-02,1.55
AZ,2001-03,1.33
AZ,2001-04,1.62
AZ,2001-05,1.56
AZ,2001-06,-0.21
AZ,2001-07,-0.5
AZ,2001-08,-0.61
AZ,2001-09,-1.39
AZ,2001-10,-1.81
AZ,2001-11,-2.22
AZ,2001-12,-2.21
AZ,2002-01,-2.69
AZ,2002-02,-3.27
AZ,2002-03,-3.76
AZ,2002-04,-4.54
AZ,2002-05,-5.05
AZ,2002-06,-5.61
AZ,2002-07,-5.67
AZ,2002-08,-6.2
AZ,2002-09,-5.07
AZ,2002-10,-4.68
AZ,2002-11,-4.45
AZ,2002-12,-4.21
AZ,2003-01,-4.69
AZ,2003-02,-3.51
AZ,2003-03,-3.18
AZ,2003-04,-2.9
AZ,2003-05,-3.22
AZ,2003-06,-3.58
AZ,2003-07,-3.93
AZ,2003-08,-3.88
AZ,2003-09,-3.7
AZ,2003-10,-4.02
AZ,2003-11,-3.36
AZ,2003-12,-3.45
AZ,2004-01,-3.48
AZ,2004-02,-3.12
AZ,2004-03,-3.55
AZ,2004-04,-3.13
AZ,2004-05,-3.67
AZ,2004-06,-4.07
AZ,2004-07,-4.31
AZ,2004-08,-4.37
AZ,2004-09,0.32
AZ,2004-10,1.18
AZ,2004-11,1.84
AZ,2004-12,1.99
AZ,2005-01,2.93
AZ,2005-02,4.34
AZ,2005-03,3.95
AZ,2005-04,4.17
AZ,2005-05,5.1
AZ,2005-06,5.44
AZ,2005-07,-0.49
AZ,2005-08,-0.17
AZ,2005-09,-0.87
AZ,2005-10,-0.85
AZ,2005-11,-1.52
AZ,2005-12,-2.19
AZ,2006-01,-2.87
AZ,2006-02,-3.64
AZ,2006-03,-3.25
AZ,2006-04,-3.55
AZ,2006-05,-4.28
AZ,2006-06,-4.65
AZ,2006-07,-3.77
AZ,2006-08,-3.49
AZ,2006-09,-2.86
AZ,2006-10,-2.32
AZ,2006-11,-2.84
AZ,2006-12,-3.1
AZ,2007-01,-3.03
AZ,2007-02,-3.24
AZ,2007-03,-3.5
AZ,2007-04,-4.07
AZ,2007-05,-4.48
AZ,2007-06,-4.94
AZ,2007-07,-4.21
AZ,2007-08,-4.11
AZ,2007-09,-3.95
